Date,Symbol,Open,High,Low,Close,Volume
2014-01-21,SPY,184.699997,184.770004,183.050003,174.297964,88621200
2014-01-17,SPY,184.100006,184.449997,183.320007,173.786943,107848700
2014-01-16,SPY,184.279999,184.660004,183.830002,174.525092,72290600
2014-01-15,SPY,184.100006,184.940002,183.710007,174.75222,98525800
2014-01-14,SPY,182.289993,183.770004,181.949997,173.815332,105016100
2014-01-13,SPY,183.669998,184.179993,181.339996,171.941572,149892000
2014-01-10,SPY,183.949997,184.220001,183.009995,174.260116,102026400
2014-01-09,SPY,184.110001,184.130005,182.800003,173.786943,90683400
2014-01-08,SPY,183.449997,183.830002,182.889999,173.673386,96582300
2014-01-07,SPY,183.089996,183.789993,182.949997,173.635524,86144200
2014-01-06,SPY,183.490005,183.559998,182.080002,172.575622,108028200
2014-01-03,SPY,183.229996,183.600006,182.630005,173.077184,81390600
2014-01-02,SPY,183.979996,184.070007,182.479996,173.105573,119636900
2013-12-31,SPY,184.070007,184.690002,183.929993,174.780609,86119900
2013-12-30,SPY,183.869995,184.020004,183.580002,173.957293,56857000
2013-12-27,SPY,184.100006,184.179993,183.660004,173.985682,61814000
2013-12-26,SPY,183.339996,183.960007,183.320007,173.99514,63365000
2013-12-24,SPY,182.539993,183.009995,182.529999,173.115031,45368800
2013-12-23,SPY,182.449997,182.639999,182.070007,172.736499,85598000
2013-12-20,SPY,180.690002,181.990005,180.570007,171.818542,197087000
2013-12-19,SPY,181.179993,181.699997,180.710007,170.824887,136531200
2013-12-18,SPY,178.919998,181.729996,177.320007,171.022538,234906000
2013-12-17,SPY,179.380005,179.410004,178.25,168.151766,89886000
2013-12-16,SPY,178.949997,179.809998,178.899994,168.688278,96195000
2013-12-13,SPY,178.50,178.660004,177.770004,167.643505,107808000
2013-12-12,SPY,178.639999,178.860001,177.759995,167.662334,115565000
2013-12-11,SPY,180.820007,180.850006,178.50,168.21766,130591000
2013-12-10,SPY,180.979996,181.360001,180.639999,170.128367,80976000
2013-12-09,SPY,181.470001,181.669998,181.160004,170.740165,70124000
2013-12-06,SPY,180.669998,181.110001,180.149994,170.307204,127728000
2013-12-05,SPY,179.410004,179.740005,178.770004,168.424733,106934000
2013-12-04,SPY,179.100006,180.479996,178.350006,169.168303,123033000
2013-12-03,SPY,179.940002,180.389999,179.169998,169.187132,116563000
2013-12-02,SPY,181.089996,181.429993,180.25,169.921294,99726000
2013-11-29,SPY,181.320007,181.75,180.800003,170.363676,55870900
2013-11-27,SPY,180.869995,181.240005,180.649994,170.47662,58800000
2013-11-26,SPY,180.720001,181.220001,180.410004,170.062474,86994000
2013-11-25,SPY,181.130005,181.169998,180.369995,170.015424,79486000
2013-11-22,SPY,179.979996,180.830002,179.770004,170.184839,81296000
2013-11-21,SPY,178.970001,180.050003,178.860001,169.337733,92841000
2013-11-20,SPY,179.389999,179.929993,177.979996,167.982351,124909000
2013-11-19,SPY,179.330002,179.869995,178.720001,168.509441,93891000
2013-11-18,SPY,180.350006,180.50,179.020004,168.876522,104796000
2013-11-15,SPY,179.559998,180.119995,179.330002,169.469505,102818000
2013-11-14,SPY,178.539993,179.419998,178.25,168.735342,103435000
2013-11-13,SPY,176.089996,178.429993,176.089996,167.897643,103844000
2013-11-12,SPY,176.940002,177.360001,176.369995,166.56109,83990000
2013-11-11,SPY,177.119995,177.529999,176.910004,166.899936,62614000
2013-11-08,SPY,174.869995,177.309998,174.850006,166.871685,136713000
2013-11-07,SPY,177.50,177.639999,174.759995,164.650368,157000000
2013-11-06,SPY,177.029999,177.50,176.539993,166.758742,87348000
2013-11-05,SPY,176.139999,176.75,175.570007,165.911635,85825000
2013-11-04,SPY,176.690002,176.899994,175.979996,166.438725,85677000
2013-11-01,SPY,176.020004,176.610001,175.220001,165.855163,142805000
2013-10-31,SPY,176.149994,176.889999,175.529999,165.459832,133795000
2013-10-30,SPY,177.380005,177.509995,175.660004,165.930449,140002000
2013-10-29,SPY,176.630005,177.240005,176.380005,166.758742,87401000
2013-10-28,SPY,175.889999,176.470001,175.699997,165.873978,84979000
2013-10-25,SPY,175.509995,176.00,175.169998,165.610433,93625000
2013-10-24,SPY,174.919998,175.369995,174.509995,164.857441,70350000
2013-10-23,SPY,174.809998,174.889999,173.960007,164.311537,105484000
2013-10-22,SPY,174.910004,175.929993,174.429993,165.102172,126663000
2013-10-21,SPY,174.449997,174.75,174.009995,164.151514,104104000
2013-10-18,SPY,173.860001,174.509995,173.509995,164.142107,138316000
2013-10-17,SPY,171.369995,173.320007,171.339996,163.040863,129389000
2013-10-16,SPY,170.720001,172.160004,170.639999,161.958448,161676000
2013-10-15,SPY,170.509995,171.149994,169.470001,159.727709,155485000
2013-10-14,SPY,169.210007,171.080002,169.080002,160.894847,112106000
2013-10-11,SPY,168.910004,170.320007,168.770004,160.254799,105040000
2013-10-10,SPY,167.289993,169.259995,167.229996,159.228855,195955000
2013-10-09,SPY,165.800003,166.199997,164.529999,155.868651,168973000
2013-10-08,SPY,167.399994,167.619995,165.360001,155.755693,178015000
2013-10-07,SPY,167.419998,168.449997,167.25,157.5911,96295000
2013-10-04,SPY,167.75,169.059998,167.529999,158.96531,96878000
2013-10-03,SPY,168.789993,168.940002,166.839996,157.769937,176698000
2013-10-02,SPY,168.350006,169.339996,167.830002,159.238262,113350000
2013-10-01,SPY,168.139999,169.50,167.970001,159.388864,127160000
2013-09-30,SPY,167.479996,168.539993,167.149994,158.137018,143937000
2013-09-27,SPY,168.839996,169.139999,168.470001,158.984139,99141800
2013-09-26,SPY,169.320007,170.169998,169.050003,159.718302,77146900
2013-09-25,SPY,169.639999,169.979996,168.889999,159.10649,117306500
2013-09-24,SPY,169.899994,170.529999,169.210007,159.567701,106333100
