"date","close","volume","open","high","low"
"2015/05/15","0.2220","100.0000","0.2220","0.2220","0.2220"
"2015/05/14","0.1350","2101.0000","0.0900","0.1350","0.0900"
"2015/05/13","0.1500","1111.0000","0.0900","0.1500","0.0900"
"2015/05/12","0.1500","0.0000","0.1500","0.1500","0.1500"
"2015/05/11","0.1500","0.0000","0.1500","0.1500","0.1500"
"2015/05/08","0.1500","0.0000","0.1500","0.1500","0.1500"
"2015/05/07","0.1500","69534.0000","0.1250","0.1500","0.1010"
"2015/05/06","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/05/05","0.0900","950.0000","0.0900","0.0900","0.0900"
"2015/05/04","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/05/01","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/30","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/29","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/28","0.0900","1250.0000","0.0900","0.0900","0.0900"
"2015/04/27","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/24","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/23","0.0900","750.0000","0.0900","0.0900","0.0900"
"2015/04/22","0.0900","1118.0000","0.0900","0.0900","0.0900"
"2015/04/21","0.1250","0.0000","0.1250","0.1250","0.1250"
"2015/04/20","0.1250","0.0000","0.1250","0.1250","0.1250"
"2015/04/17","0.1250","0.0000","0.1250","0.1250","0.1250"
"2015/04/16","0.1250","1000.0000","0.1250","0.1250","0.1250"
"2015/04/15","0.1250","5500.0000","0.0900","0.1250","0.0900"
"2015/04/14","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/13","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/10","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/09","0.0900","6150.0000","0.0900","0.0900","0.0900"
"2015/04/08","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/07","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/06","0.0900","2429.0000","0.0900","0.0900","0.0900"
"2015/04/02","0.0900","0.0000","0.0900","0.0900","0.0900"
"2015/04/01","0.0900","500.0000","0.0900","0.0900","0.0900"
"2015/03/31","0.1250","12501.0000","0.1100","0.1250","0.1100"
"2015/03/30","0.0900","500.0000","0.0900","0.0900","0.0900"
"2015/03/27","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/03/26","0.1000","5000.0000","0.1000","0.1000","0.1000"
"2015/03/25","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/03/24","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/03/23","0.1000","22500.0000","0.1000","0.1000","0.1000"
"2015/03/20","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/03/19","0.1100","250.0000","0.1100","0.1100","0.1100"
"2015/03/18","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/17","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/16","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/13","0.1300","6500.0000","0.1300","0.1300","0.1300"
"2015/03/12","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/11","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/10","0.1300","8297.0000","0.1200","0.1300","0.1200"
"2015/03/09","0.1300","600.0000","0.1300","0.1300","0.1300"
"2015/03/06","0.1100","4100.0000","0.1200","0.1200","0.1100"
"2015/03/05","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/03/04","0.1200","1000.0000","0.1200","0.1200","0.1200"
"2015/03/03","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/03/02","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/02/27","0.1300","3400.0000","0.1300","0.1300","0.1300"
"2015/02/26","0.1000","1070.0000","0.1000","0.1000","0.1000"
"2015/02/25","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/24","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/23","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/20","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/19","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/18","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/17","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/13","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/12","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/11","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/10","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/09","0.1000","1920.0000","0.1000","0.1000","0.1000"
"2015/02/06","0.1000","2045.0000","0.1000","0.1000","0.1000"
"2015/02/05","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/04","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/03","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/02/02","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/30","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/29","0.1000","0.0000","0.1000","0.1000","0.1000"
